Year,Total Physical Revenue,Total Digital Revenue,Apple Revenue,% Radio Listeners
2004,12154.7,190.4,0.0,0
2005,11195.000000000004,1094.9,0.0,0
2006,9868.600000000002,1890.8999999999999,19100.0,0
2007,7985.7,2665.2,24400.0,0
2008,5766.9,3009.9,37400.0,0
2009,4601.800000000001,3229.2,42700.0,92
2010,3663.7000000000003,3350.1,65000.0,92
2011,3381.0,3754.6000000000004,108000.0,93
2012,2772.4451678090004,4243.297822483,156300.0,92
2013,2464.342963995,4570.761536642,170800.0,92
2014,2121.820028181,4572.879392313,182600.0,91
2015,1862.2169505240001,4848.6018974749995,233600.0,91
2016,1552.3047205260002,5939.357617287998,215400.0,91
2017,1477.343897207,7025.892160628,229200.0,90
2018,1150.377812166,8587.818985079,265500.0,89
2019,1144.5608442449998,9986.056278549,260100.00000000003,89
2020,1163.318483929,10954.748082922999,274500.0,83
2021,1663.802355431,13293.499643966,365800.0,84
2022,1730.993298754,14142.92554055,394300.0,82
